mother,watch_from,tf,expiry,strike,lot,buys,lots,first_fill,exit,reason,deployed,gross,costs,net,unpriced,legs,exit_detail,target_index
2025-11-20T14:15:00+05:30,2025-11-26T09:25:00+05:30,5m,2025-12-30,26000,75,2,3,2025-12-02T09:55:00+05:30,2025-12-04T10:20:00+05:30,target,93750.0,5670.0,280.38,5389.62,0,"[{""t"": ""2025-12-02T09:55:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-12-02T10:00:00+05:30"", ""index"": 26079.3, ""premium"": 445.9, ""qty"": 75, ""rung"": 1, ""strike"": 26000}, {""t"": ""2025-12-03T10:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2025-12-03T10:45:00+05:30"", ""index"": 25928.2, ""premium"": 402.05, ""qty"": 150, ""rung"": 2, ""strike"": 25850}]","{""timestamp"": ""2025-12-04T10:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-12-04T10:20:00+05:30"", ""index_price"": 26045.59, ""option_premium"": 377.4, ""premiums"": {""26000CE"": 377.4, ""25850CE"": 474.1}, ""reason"": ""target""}",26045.59
2025-12-05T12:50:00+05:30,2025-12-05T12:50:00+05:30,5m,2025-12-30,25800,75,2,3,2025-12-08T13:40:00+05:30,2025-12-09T12:25:00+05:30,target,94233.75,8092.5,284.35,7808.15,0,"[{""t"": ""2025-12-08T13:40:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-12-08T13:45:00+05:30"", ""index"": 25919.1, ""premium"": 418.45, ""qty"": 75, ""rung"": 1, ""strike"": 25800}, {""t"": ""2025-12-09T10:00:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2025-12-09T10:15:00+05:30"", ""index"": 25760.1, ""premium"": 419.0, ""qty"": 150, ""rung"": 2, ""strike"": 25650}]","{""timestamp"": ""2025-12-09T12:25:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-12-09T12:25:00+05:30"", ""index_price"": 25910.47, ""option_premium"": 387.25, ""premiums"": {""25800CE"": 387.25, ""25650CE"": 488.55}, ""reason"": ""target""}",25910.47
2025-12-12T14:00:00+05:30,2025-12-12T14:00:00+05:30,5m,2025-12-30,25750,75,2,3,2025-12-17T10:15:00+05:30,2025-12-18T11:55:00+05:30,target,62181.0,8787.0,224.04,8562.96,0,"[{""t"": ""2025-12-17T10:15:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-12-17T10:20:00+05:30"", ""index"": 25845.65, ""premium"": 282.8, ""qty"": 75, ""rung"": 1, ""strike"": 25750}, {""t"": ""2025-12-17T12:45:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2025-12-17T13:00:00+05:30"", ""index"": 25796.25, ""premium"": 273.14, ""qty"": 150, ""rung"": 2, ""strike"": 25700}]","{""timestamp"": ""2025-12-18T11:55:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-12-18T11:55:00+05:30"", ""index_price"": 25870.57, ""option_premium"": 290.14, ""premiums"": {""25750CE"": 290.14, ""25700CE"": 328.05}, ""reason"": ""target""}",25870.57
2025-12-19T13:45:00+05:30,2025-12-19T13:45:00+05:30,5m,2026-01-27,25850,75,1,1,2025-12-29T11:25:00+05:30,2025-12-29T11:35:00+05:30,target,33645.0,213.75,111.67,102.08,0,"[{""t"": ""2025-12-29T11:25:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-12-29T11:30:00+05:30"", ""index"": 25974.95, ""premium"": 448.6, ""qty"": 75, ""rung"": 1, ""strike"": 25850}]","{""timestamp"": ""2025-12-29T11:35:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-12-29T11:35:00+05:30"", ""index_price"": 25977.51, ""option_premium"": 451.45, ""premiums"": {""25850CE"": 451.45}, ""reason"": ""target""}",25977.51
2025-12-31T13:20:00+05:30,2025-12-31T13:20:00+05:30,5m,2026-01-27,26050,75,1,1,2026-01-06T11:25:00+05:30,2026-01-06T11:35:00+05:30,target,27900.0,288.75,100.81,187.94,0,"[{""t"": ""2026-01-06T11:25:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-01-06T11:30:00+05:30"", ""index"": 26156.6, ""premium"": 372.0, ""qty"": 75, ""rung"": 1, ""strike"": 26050}]","{""timestamp"": ""2026-01-06T11:35:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-01-06T11:35:00+05:30"", ""index_price"": 26157.15, ""option_premium"": 375.85, ""premiums"": {""26050CE"": 375.85}, ""reason"": ""target""}",26157.15
2026-01-29T13:30:00+05:30,2026-01-29T13:30:00+05:30,5m,2026-02-24,24800,65,1,1,2026-02-01T12:35:00+05:30,2026-02-01T12:45:00+05:30,target,34593.0,-588.25,112.48,-700.73,0,"[{""t"": ""2026-02-01T12:35:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-02-01T12:40:00+05:30"", ""index"": 24906.45, ""premium"": 532.2, ""qty"": 65, ""rung"": 1, ""strike"": 24800}]","{""timestamp"": ""2026-02-01T12:45:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-02-01T12:45:00+05:30"", ""index_price"": 25024.85, ""option_premium"": 523.15, ""premiums"": {""24800CE"": 523.15}, ""reason"": ""target""}",25024.85
2026-01-29T14:50:00+05:30,2026-02-01T12:45:00+05:30,5m,2026-02-24,24700,65,2,3,2026-02-02T09:15:00+05:30,2026-02-02T12:20:00+05:30,target,98910.5,6194.5,290.88,5903.62,0,"[{""t"": ""2026-02-02T09:15:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-02-02T09:20:00+05:30"", ""index"": 24790.95, ""premium"": 469.1, ""qty"": 65, ""rung"": 1, ""strike"": 24700}, {""t"": ""2026-02-02T11:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-02-02T11:45:00+05:30"", ""index"": 24728.45, ""premium"": 526.3, ""qty"": 130, ""rung"": 2, ""strike"": 24650}]","{""timestamp"": ""2026-02-02T12:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-02-02T12:20:00+05:30"", ""index_price"": 24926.5, ""option_premium"": 505.3, ""premiums"": {""24700CE"": 505.3, ""24650CE"": 555.85}, ""reason"": ""target""}",24926.5
2026-02-03T09:15:00+05:30,2026-02-03T09:15:00+05:30,5m,2026-02-24,25450,65,2,3,2026-02-13T09:40:00+05:30,2026-02-17T10:30:00+05:30,target,51054.25,24251.5,222.17,24029.33,0,"[{""t"": ""2026-02-13T09:40:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-02-13T09:45:00+05:30"", ""index"": 25547.7, ""premium"": 285.35, ""qty"": 65, ""rung"": 1, ""strike"": 25450}, {""t"": ""2026-02-16T09:15:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-02-16T09:30:00+05:30"", ""index"": 25477.2, ""premium"": 250.05, ""qty"": 130, ""rung"": 2, ""strike"": 25400}]","{""timestamp"": ""2026-02-17T10:30:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-02-17T10:30:00+05:30"", ""index_price"": 25710.83, ""option_premium"": 360.55, ""premiums"": {""25450CE"": 360.55, ""25400CE"": 399.0}, ""reason"": ""target""}",25710.83
2026-02-18T14:15:00+05:30,2026-02-18T14:15:00+05:30,5m,2026-03-30,25400,65,2,3,2026-02-19T14:50:00+05:30,2026-02-20T10:25:00+05:30,target,103538.5,12272.0,307.33,11964.67,0,"[{""t"": ""2026-02-19T14:50:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-02-19T14:55:00+05:30"", ""index"": 25518.25, ""premium"": 547.5, ""qty"": 65, ""rung"": 1, ""strike"": 25400}, {""t"": ""2026-02-20T09:15:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-02-20T09:30:00+05:30"", ""index"": 25447.6, ""premium"": 522.7, ""qty"": 130, ""rung"": 2, ""strike"": 25350}]","{""timestamp"": ""2026-02-20T10:25:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-02-20T10:25:00+05:30"", ""index_price"": 25546.35, ""option_premium"": 572.8, ""premiums"": {""25400CE"": 572.8, ""25350CE"": 604.45}, ""reason"": ""target""}",25546.35
2026-03-18T11:40:00+05:30,2026-03-18T11:40:00+05:30,5m,2026-04-28,23100,65,2,3,2026-03-19T13:35:00+05:30,2026-03-20T09:35:00+05:30,target,157306.5,22490.0,422.71,22067.29,0,"[{""t"": ""2026-03-19T13:35:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-03-19T13:40:00+05:30"", ""index"": 23176.65, ""premium"": 796.0, ""qty"": 65, ""rung"": 1, ""strike"": 23100}, {""t"": ""2026-03-19T14:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-03-19T14:45:00+05:30"", ""index"": 23111.3, ""premium"": 812.05, ""qty"": 130, ""rung"": 2, ""strike"": 23000}]","{""timestamp"": ""2026-03-20T09:35:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-03-20T09:35:00+05:30"", ""index_price"": 23308.8, ""option_premium"": 874.1, ""premiums"": {""23100CE"": 874.1, ""23000CE"": 946.0}, ""reason"": ""target""}",23308.8
2026-03-25T10:40:00+05:30,2026-03-25T10:40:00+05:30,5m,2026-04-28,22400,65,2,3,2026-03-30T10:45:00+05:30,2026-04-01T09:20:00+05:30,target,169991.25,23058.75,424.03,22634.72,0,"[{""t"": ""2026-03-30T10:45:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-03-30T10:50:00+05:30"", ""index"": 22522.45, ""premium"": 893.25, ""qty"": 65, ""rung"": 1, ""strike"": 22400}, {""t"": ""2026-03-30T11:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-03-30T11:45:00+05:30"", ""index"": 22478.55, ""premium"": 861.0, ""qty"": 130, ""rung"": 2, ""strike"": 22400}]","{""timestamp"": ""2026-04-01T09:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-04-01T09:20:00+05:30"", ""index_price"": 22712.28, ""option_premium"": 990.0, ""premiums"": {""22400CE"": 990.0}, ""reason"": ""target""}",22712.28
2026-04-06T15:00:00+05:30,2026-04-06T15:00:00+05:30,5m,2026-04-28,22850,65,0,0,,,expired,0,,,,0,[],{},
2026-04-23T13:25:00+05:30,2026-04-28T15:15:00+05:30,5m,2026-05-26,23800,65,2,3,2026-04-30T09:30:00+05:30,2026-04-30T13:25:00+05:30,target,106752.75,12915.5,314.26,12601.24,0,"[{""t"": ""2026-04-30T09:30:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-04-30T09:35:00+05:30"", ""index"": 23900.8, ""premium"": 552.35, ""qty"": 65, ""rung"": 1, ""strike"": 23800}, {""t"": ""2026-04-30T10:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-04-30T10:45:00+05:30"", ""index"": 23828.6, ""premium"": 545.0, ""qty"": 130, ""rung"": 2, ""strike"": 23750}]","{""timestamp"": ""2026-04-30T13:25:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-04-30T13:25:00+05:30"", ""index_price"": 23959.78, ""option_premium"": 593.35, ""premiums"": {""23800CE"": 593.35, ""23750CE"": 623.85}, ""reason"": ""target""}",23959.78
2026-05-06T14:25:00+05:30,2026-05-06T14:25:00+05:30,5m,2026-05-26,23800,65,2,3,2026-05-11T09:45:00+05:30,2026-05-11T13:40:00+05:30,target,87356.75,6379.75,269.07,6110.68,0,"[{""t"": ""2026-05-11T09:45:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-05-11T09:50:00+05:30"", ""index"": 23881.8, ""premium"": 424.25, ""qty"": 65, ""rung"": 1, ""strike"": 23800}, {""t"": ""2026-05-11T10:45:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-05-11T11:00:00+05:30"", ""index"": 23869.2, ""premium"": 459.85, ""qty"": 130, ""rung"": 2, ""strike"": 23750}]","{""timestamp"": ""2026-05-11T13:40:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-05-11T13:40:00+05:30"", ""index_price"": 23988.06, ""option_premium"": 451.0, ""premiums"": {""23800CE"": 451.0, ""23750CE"": 495.55}, ""reason"": ""target""}",23988.06
2026-05-21T09:15:00+05:30,2026-05-21T09:15:00+05:30,5m,2026-06-30,23650,65,1,1,2026-05-29T13:55:00+05:30,2026-05-29T14:35:00+05:30,target,32685.25,1114.75,110.96,1003.79,0,"[{""t"": ""2026-05-29T13:55:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-05-29T14:00:00+05:30"", ""index"": 23754.1, ""premium"": 502.85, ""qty"": 65, ""rung"": 1, ""strike"": 23650}]","{""timestamp"": ""2026-05-29T14:35:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-05-29T14:35:00+05:30"", ""index_price"": 23780.55, ""option_premium"": 520.0, ""premiums"": {""23650CE"": 520.0}, ""reason"": ""target""}",23780.55
2026-06-12T09:15:00+05:30,2026-06-12T09:15:00+05:30,5m,2026-06-30,23350,65,0,0,,,expired,0,,,,0,[],{},
2026-06-25T12:10:00+05:30,2026-06-30T15:15:00+05:30,5m,2026-07-28,23800,65,2,3,2026-07-08T14:15:00+05:30,2026-07-09T09:20:00+05:30,target,81646.5,6360.25,258.17,6102.08,0,"[{""t"": ""2026-07-08T14:15:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-07-08T14:20:00+05:30"", ""index"": 23912.85, ""premium"": 410.2, ""qty"": 65, ""rung"": 1, ""strike"": 23800}, {""t"": ""2026-07-08T15:00:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-07-08T15:15:00+05:30"", ""index"": 23863.25, ""premium"": 422.95, ""qty"": 130, ""rung"": 2, ""strike"": 23750}]","{""timestamp"": ""2026-07-09T09:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-07-09T09:20:00+05:30"", ""index_price"": 23975.24, ""option_premium"": 426.55, ""premiums"": {""23800CE"": 426.55, ""23750CE"": 463.7}, ""reason"": ""target""}",23975.24
2026-07-17T10:15:00+05:30,2026-07-17T10:15:00+05:30,5m,2026-08-25,23900,65,2,3,2026-07-22T09:40:00+05:30,2026-07-29T09:20:00+05:30,target,95036.5,10673.0,265.51,10407.49,0,"[{""t"": ""2026-07-22T09:40:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-07-22T09:45:00+05:30"", ""index"": 24024.25, ""premium"": 495.9, ""qty"": 65, ""rung"": 1, ""strike"": 23900}, {""t"": ""2026-07-22T10:45:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-07-22T11:00:00+05:30"", ""index"": 24007.6, ""premium"": 483.1, ""qty"": 130, ""rung"": 2, ""strike"": 23900}]","{""timestamp"": ""2026-07-29T09:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-07-29T09:20:00+05:30"", ""index_price"": 24079.61, ""option_premium"": 542.1, ""premiums"": {""23900CE"": 542.1}, ""reason"": ""target""}",24079.61
2026-07-29T09:35:00+05:30,2026-07-29T09:35:00+05:30,5m,2026-08-25,24100,65,0,0,,,waiting_two_red,0,,,,0,[],{},
