mother,tf,expiry,strike,lot,buys,lots,first_fill,exit,reason,deployed,gross,costs,net,unpriced,legs,exit_detail,target_index
2025-07-31T12:55:00+05:30,5m,2025-08-28,24800,75,2,3,2025-08-01T11:50:00+05:30,2025-08-04T12:45:00+05:30,trail,56062.5,2955.0,181.48,2773.52,0,"[{""t"": ""2025-08-01T11:50:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-08-01T11:55:00+05:30"", ""index"": 24669.45, ""premium"": 264.0, ""qty"": 75, ""rung"": 1}, {""t"": ""2025-08-01T14:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2025-08-01T14:45:00+05:30"", ""index"": 24635.45, ""premium"": 241.75, ""qty"": 150, ""rung"": 2}]","{""timestamp"": ""2025-08-04T12:45:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-08-04T12:45:00+05:30"", ""index_price"": 24698.698453125, ""option_premium"": 262.3, ""reason"": ""trail""}",24711.6
2025-08-12T09:30:00+05:30,5m,2025-08-28,24550,75,1,1,2025-08-22T10:45:00+05:30,2025-08-22T11:00:00+05:30,trail,30375.0,198.75,105.41,93.34,0,"[{""t"": ""2025-08-22T10:45:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-08-22T10:50:00+05:30"", ""index"": 24920.5, ""premium"": 405.0, ""qty"": 75, ""rung"": 1}]","{""timestamp"": ""2025-08-22T11:00:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-08-22T11:00:00+05:30"", ""index_price"": 24917.0, ""option_premium"": 407.65, ""reason"": ""trail""}",24850.64
2025-09-04T09:15:00+05:30,5m,2025-09-30,24750,75,1,1,2025-09-05T12:55:00+05:30,2025-09-05T14:40:00+05:30,trail,19192.5,3022.5,87.61,2934.89,0,"[{""t"": ""2025-09-05T12:55:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-09-05T13:00:00+05:30"", ""index"": 24635.45, ""premium"": 255.9, ""qty"": 75, ""rung"": 1}]","{""timestamp"": ""2025-09-05T14:40:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-09-05T14:40:00+05:30"", ""index_price"": 24744.16, ""option_premium"": 296.2, ""reason"": ""trail""}",24721.78
2025-09-10T09:15:00+05:30,5m,2025-09-30,24850,75,1,1,2025-09-22T15:00:00+05:30,2025-09-22T15:15:00+05:30,trail,35066.25,-1518.75,112.22,-1630.97,0,"[{""t"": ""2025-09-22T15:00:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-09-22T15:05:00+05:30"", ""index"": 25212.0, ""premium"": 467.55, ""qty"": 75, ""rung"": 1}]","{""timestamp"": ""2025-09-22T15:15:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-09-22T15:15:00+05:30"", ""index_price"": 25213.715, ""option_premium"": 447.3, ""reason"": ""trail""}",25157.2
2025-10-01T14:20:00+05:30,5m,2025-10-28,24700,75,1,1,2025-10-14T12:45:00+05:30,2025-10-14T13:05:00+05:30,trail,39525.0,75.0,122.72,-47.72,0,"[{""t"": ""2025-10-14T12:45:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-10-14T12:50:00+05:30"", ""index"": 25077.0, ""premium"": 527.0, ""qty"": 75, ""rung"": 1}]","{""timestamp"": ""2025-10-14T13:05:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-10-14T13:05:00+05:30"", ""index_price"": 25098.49, ""option_premium"": 528.0, ""reason"": ""trail""}",25013.38
2025-10-15T12:55:00+05:30,5m,2025-11-25,25250,75,1,1,2025-10-30T13:50:00+05:30,2025-10-30T14:05:00+05:30,trail,65550.0,0.0,172.28,-172.28,0,"[{""t"": ""2025-10-30T13:50:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-10-30T13:55:00+05:30"", ""index"": 25880.8, ""premium"": 874.0, ""qty"": 75, ""rung"": 1}]","{""timestamp"": ""2025-10-30T14:05:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-10-30T14:05:00+05:30"", ""index_price"": 25889.795000000002, ""option_premium"": 874.0, ""reason"": ""trail""}",25743.58
2025-11-11T13:45:00+05:30,5m,2025-11-25,25550,75,1,1,2025-11-24T15:25:00+05:30,2025-11-25T09:25:00+05:30,trail,31492.5,-843.75,106.23,-949.98,0,"[{""t"": ""2025-11-24T15:25:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-11-24T15:30:00+05:30"", ""index"": 25950.95, ""premium"": 419.9, ""qty"": 75, ""rung"": 1}]","{""timestamp"": ""2025-11-25T09:25:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-11-25T09:25:00+05:30"", ""index_price"": 25989.100000000002, ""option_premium"": 408.65, ""reason"": ""trail""}",25880.25
2025-11-26T13:55:00+05:30,5m,2025-12-30,26100,75,3,6,2025-12-02T09:55:00+05:30,2025-12-04T11:25:00+05:30,trail,147127.5,-180.0,374.91,-554.91,0,"[{""t"": ""2025-12-02T09:55:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-12-02T10:00:00+05:30"", ""index"": 26079.3, ""premium"": 381.9, ""qty"": 75, ""rung"": 1}, {""t"": ""2025-12-02T12:00:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2025-12-02T12:15:00+05:30"", ""index"": 26058.7, ""premium"": 365.1, ""qty"": 150, ""rung"": 2}, {""t"": ""2025-12-03T11:15:00+05:30"", ""tf"": ""1h"", ""priced_at"": ""2025-12-03T12:15:00+05:30"", ""index"": 25928.2, ""premium"": 283.2, ""qty"": 225, ""rung"": 3}]","{""timestamp"": ""2025-12-04T11:25:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-12-04T11:25:00+05:30"", ""index_price"": 26067.839, ""option_premium"": 326.55, ""reason"": ""trail""}",26046.64
2025-12-05T12:50:00+05:30,5m,2025-12-30,26100,75,2,3,2025-12-08T13:40:00+05:30,2025-12-09T12:40:00+05:30,trail,43680.0,-255.0,153.84,-408.84,0,"[{""t"": ""2025-12-08T13:40:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-12-08T13:45:00+05:30"", ""index"": 25919.1, ""premium"": 241.2, ""qty"": 75, ""rung"": 1}, {""t"": ""2025-12-09T10:00:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2025-12-09T10:15:00+05:30"", ""index"": 25760.1, ""premium"": 170.6, ""qty"": 150, ""rung"": 2}]","{""timestamp"": ""2025-12-09T12:40:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-12-09T12:40:00+05:30"", ""index_price"": 25890.485, ""option_premium"": 193.0, ""reason"": ""trail""}",25910.47
2025-12-12T14:00:00+05:30,5m,2025-12-30,25950,75,2,3,2025-12-17T10:15:00+05:30,2025-12-18T13:20:00+05:30,trail,32769.75,3567.75,137.8,3429.95,0,"[{""t"": ""2025-12-17T10:15:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-12-17T10:20:00+05:30"", ""index"": 25845.65, ""premium"": 166.05, ""qty"": 75, ""rung"": 1}, {""t"": ""2025-12-17T12:45:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2025-12-17T13:00:00+05:30"", ""index"": 25796.25, ""premium"": 135.44, ""qty"": 150, ""rung"": 2}]","{""timestamp"": ""2025-12-18T13:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-12-18T13:20:00+05:30"", ""index_price"": 25875.461, ""option_premium"": 161.5, ""reason"": ""trail""}",25870.57
